"Insecure randomness","Using a cryptographically weak pseudo-random number generator to generate a security-sensitive value may allow an attacker to predict what value will be generated.","warning","This uses a cryptographically insecure random number generated at [[""Math.random()""|""relative:///index.js:76:9:76:21""]] in a security context.","/index.js","62","20","62","38"
"Clear text transmission of sensitive cookie","Sending sensitive information in a cookie without requring SSL encryption can expose the cookie to an attacker.","warning","Sensitive cookie sent without enforcing SSL encryption.","/index.js","63","2","63","55"
